Date,Total bicicle usage(seconds),Number of trips,Proportion members,Usage per bike(seconds),Week day,prcp,t max,t min,average Temp,Holiday,Holiday/Weekend,Year,Month,Week,Day,membership,Temp Level,Rain Level,Day of year,Season
2010-10-07,1070950.0,869,0.8135788262370541,1232.0,Thursday,0.0,23.3,10.0,16.65,0,0,2010,10,40,7,high,nice,dry,280,autumn
2010-10-08,1410421.0,914,0.7614879649890591,1543.0,Friday,0.0,24.4,6.7,15.549999999999999,0,0,2010,10,40,8,medium,nice,dry,281,autumn
2010-10-09,2871990.0,1109,0.4860234445446348,2590.0,Saturday,0.0,27.2,8.3,17.75,0,1,2010,10,40,9,low,nice,dry,282,autumn
2010-10-10,3245825.0,1097,0.4339106654512305,2959.0,Sunday,0.0,24.4,8.3,16.35,0,1,2010,10,40,10,low,nice,dry,283,autumn
2010-10-11,2019248.0,967,0.6380558428128231,2088.0,Monday,0.0,29.4,12.8,21.1,1,1,2010,10,41,11,low,nice,dry,284,autumn
2010-10-12,1388006.0,1080,0.7703703703703704,1285.0,Tuesday,0.0,27.2,13.9,20.55,0,0,2010,10,41,12,medium,nice,dry,285,autumn
2010-10-13,1556447.0,1131,0.7904509283819628,1376.0,Wednesday,0.0,20.0,7.2,13.6,0,0,2010,10,41,13,medium,cold,dry,286,autumn
2010-10-14,644798.0,573,0.8743455497382199,1125.0,Thursday,0.86,13.3,6.7,10.0,0,0,2010,10,41,14,high,cold,light,287,autumn
2010-10-15,1653998.0,1138,0.7530755711775043,1453.0,Friday,0.0,17.2,7.2,12.2,0,0,2010,10,41,15,medium,cold,dry,288,autumn
2010-10-16,2763005.0,1374,0.5873362445414847,2011.0,Saturday,0.0,18.9,6.7,12.799999999999999,0,1,2010,10,41,16,low,cold,dry,289,autumn
2010-10-17,2892873.0,1332,0.5518018018018018,2172.0,Sunday,0.0,24.4,5.6,15.0,0,1,2010,10,41,17,low,cold,dry,290,autumn
2010-10-18,1274570.0,1137,0.8293755496921724,1121.0,Monday,0.0,18.3,6.7,12.5,0,0,2010,10,42,18,high,cold,dry,291,autumn
2010-10-19,1153833.0,1149,0.8311575282854656,1004.0,Tuesday,0.3,14.4,7.8,11.1,0,0,2010,10,42,19,high,cold,light,292,autumn
2010-10-20,1006347.0,1140,0.8543859649122807,883.0,Wednesday,0.0,14.4,7.2,10.8,0,0,2010,10,42,20,high,cold,dry,293,autumn
2010-10-21,1439523.0,1329,0.8532731376975169,1083.0,Thursday,0.0,20.0,3.9,11.95,0,0,2010,10,42,21,high,cold,dry,294,autumn
2010-10-22,1448326.0,1362,0.8259911894273128,1063.0,Friday,0.0,15.0,3.9,9.45,0,0,2010,10,42,22,high,cold,dry,295,autumn
2010-10-23,4187191.0,1698,0.552414605418139,2466.0,Saturday,0.0,21.1,1.7,11.4,0,1,2010,10,42,23,low,cold,dry,296,autumn
2010-10-24,3394842.0,1544,0.5349740932642487,2199.0,Sunday,0.0,23.9,10.6,17.25,0,1,2010,10,42,24,low,nice,dry,297,autumn
2010-10-25,1439612.0,1327,0.8289374529012811,1085.0,Monday,0.0,23.9,9.4,16.65,0,0,2010,10,43,25,high,nice,dry,298,autumn
2010-10-26,1654080.0,1554,0.8281853281853282,1064.0,Tuesday,0.0,23.3,16.7,20.0,0,0,2010,10,43,26,high,nice,dry,299,autumn
2010-10-27,909526.0,1017,0.8603736479842674,894.0,Wednesday,0.87,24.4,19.4,21.9,0,0,2010,10,43,27,high,nice,light,300,autumn
2010-10-28,2010450.0,1695,0.7887905604719764,1186.0,Thursday,0.0,25.0,10.6,17.8,0,0,2010,10,43,28,medium,nice,dry,301,autumn
2010-10-29,2453784.0,1652,0.7481840193704601,1485.0,Friday,0.0,13.9,5.0,9.45,0,0,2010,10,43,29,medium,cold,dry,302,autumn
2010-10-30,5844012.0,2292,0.4943280977312391,2550.0,Saturday,0.0,15.6,1.7,8.65,0,1,2010,10,43,30,low,cold,dry,303,autumn
2010-10-31,5070957.0,1942,0.4912461380020597,2611.0,Sunday,0.0,17.8,2.2,10.0,0,1,2010,10,43,31,low,cold,dry,304,autumn
2010-11-01,1502989.0,1451,0.8373535492763611,1036.0,Monday,0.0,12.2,0.6,6.3999999999999995,0,0,2010,11,44,1,high,cold,dry,305,autumn
2010-11-02,1307123.0,1405,0.8704626334519573,930.0,Tuesday,0.0,10.6,-1.1,4.75,0,0,2010,11,44,2,high,cold,dry,306,autumn
2010-11-03,1325131.0,1490,0.8791946308724832,889.0,Wednesday,0.07,13.9,-1.1,6.4,0,0,2010,11,44,3,high,cold,light,307,autumn
2010-11-04,417589.0,589,0.9235993208828522,709.0,Thursday,1.15,10.0,8.3,9.15,0,0,2010,11,44,4,high,cold,heavy,308,autumn
2010-11-05,1937310.0,1854,0.8414239482200647,1045.0,Friday,0.0,13.3,4.4,8.850000000000001,0,0,2010,11,44,5,high,cold,dry,309,autumn
2010-11-06,2839859.0,1816,0.6674008810572687,1564.0,Saturday,0.0,11.7,2.8,7.25,0,1,2010,11,44,6,low,cold,dry,310,autumn
2010-11-07,1650265.0,1414,0.7213578500707214,1167.0,Sunday,0.0,11.1,1.1,6.1,0,1,2010,11,44,7,medium,cold,dry,311,autumn
2010-11-08,1485199.0,1599,0.8980612883051907,929.0,Monday,0.0,17.2,1.7,9.45,0,0,2010,11,45,8,high,cold,dry,312,autumn
2010-11-09,1934524.0,1934,0.8888314374353671,1000.0,Tuesday,0.0,17.2,7.2,12.2,0,0,2010,11,45,9,high,cold,dry,313,autumn
2010-11-10,1877137.0,2049,0.8892142508540751,916.0,Wednesday,0.0,17.8,6.1,11.95,0,0,2010,11,45,10,high,cold,dry,314,autumn
2010-11-11,2416044.0,2049,0.7964860907759883,1179.0,Thursday,0.0,16.7,0.6,8.65,1,1,2010,11,45,11,medium,cold,dry,315,autumn
2010-11-12,2207351.0,2020,0.8039603960396039,1093.0,Friday,0.0,18.9,-2.2,8.35,0,0,2010,11,45,12,high,cold,dry,316,autumn
2010-11-13,4413602.0,2265,0.5960264900662252,1949.0,Saturday,0.0,18.3,-1.1,8.6,0,1,2010,11,45,13,low,cold,dry,317,autumn
2010-11-14,3879870.0,2005,0.5900249376558604,1935.0,Sunday,0.0,17.8,-0.6,8.6,0,1,2010,11,45,14,low,cold,dry,318,autumn
2010-11-15,1534236.0,1736,0.8738479262672811,884.0,Monday,0.04,13.3,5.0,9.15,0,0,2010,11,46,15,high,cold,light,319,autumn
2010-11-16,646906.0,772,0.9196891191709844,838.0,Tuesday,0.38,16.1,8.3,12.200000000000001,0,0,2010,11,46,16,high,cold,light,320,autumn
2010-11-17,1764407.0,1923,0.906396255850234,918.0,Wednesday,0.16,16.1,6.7,11.4,0,0,2010,11,46,17,high,cold,light,321,autumn
2010-11-18,1457590.0,1856,0.8970905172413793,785.0,Thursday,0.0,14.4,3.3,8.85,0,0,2010,11,46,18,high,cold,dry,322,autumn
2010-11-19,1895899.0,1955,0.8716112531969309,970.0,Friday,0.0,11.7,1.1,6.3999999999999995,0,0,2010,11,46,19,high,cold,dry,323,autumn
2010-11-20,4152854.0,2351,0.6439812845597618,1766.0,Saturday,0.0,17.2,1.1,9.15,0,1,2010,11,46,20,low,cold,dry,324,autumn
2010-11-21,2739783.0,1752,0.6786529680365296,1564.0,Sunday,0.0,11.7,3.9,7.8,0,1,2010,11,46,21,low,cold,dry,325,autumn
2010-11-22,1701514.0,1905,0.8650918635170604,893.0,Monday,0.0,18.3,7.2,12.75,0,0,2010,11,47,22,high,cold,dry,326,autumn
2010-11-23,1578241.0,1765,0.9087818696883851,894.0,Tuesday,0.0,18.9,7.2,13.049999999999999,0,0,2010,11,47,23,high,cold,dry,327,autumn
2010-11-24,1408681.0,1479,0.8938471940500338,952.0,Wednesday,0.0,11.7,3.9,7.8,0,0,2010,11,47,24,high,cold,dry,328,autumn
2010-11-25,934185.0,553,0.6455696202531646,1689.0,Thursday,0.04,11.1,4.4,7.75,1,1,2010,11,47,25,low,cold,light,329,autumn
2010-11-26,914756.0,778,0.7467866323907455,1176.0,Friday,0.01,14.4,1.7,8.05,0,0,2010,11,47,26,medium,cold,light,330,autumn
2010-11-27,1563356.0,938,0.6140724946695096,1667.0,Saturday,0.0,7.8,-0.6,3.6,0,1,2010,11,47,27,low,cold,dry,331,autumn
2010-11-28,1181390.0,944,0.7807203389830508,1251.0,Sunday,0.0,9.4,-2.2,3.6,0,1,2010,11,47,28,medium,cold,dry,332,autumn
2010-11-29,1173797.0,1484,0.935309973045822,791.0,Monday,0.0,10.0,-3.9,3.05,0,0,2010,11,48,29,high,cold,dry,333,autumn
2010-11-30,957193.0,1259,0.9253375694996028,760.0,Tuesday,0.19,16.1,7.2,11.65,0,0,2010,11,48,30,high,cold,light,334,autumn
2010-12-01,707671.0,979,0.9591419816138916,723.0,Wednesday,0.8,16.7,0.0,8.35,0,0,2010,12,48,1,high,cold,light,335,autumn
2010-12-02,1260746.0,1458,0.9389574759945132,865.0,Thursday,0.0,5.0,-3.3,0.8500000000000001,0,0,2010,12,48,2,high,cold,dry,336,autumn
2010-12-03,1198948.0,1586,0.92875157629256,756.0,Friday,0.0,5.6,-1.1,2.25,0,0,2010,12,48,3,high,cold,dry,337,autumn
2010-12-04,1147606.0,1204,0.7956810631229236,953.0,Saturday,0.0,5.6,-2.8,1.4,0,1,2010,12,48,4,medium,cold,dry,338,autumn
2010-12-05,784266.0,1011,0.8358061325420376,776.0,Sunday,0.0,3.9,-1.1,1.4,0,1,2010,12,48,5,high,cold,dry,339,autumn
2010-12-06,795501.0,1182,0.9593908629441624,673.0,Monday,0.0,2.8,-2.2,0.2999999999999998,0,0,2010,12,49,6,high,cold,dry,340,autumn
2010-12-07,688255.0,1072,0.9570895522388059,642.0,Tuesday,0.0,2.2,-3.3,-0.5499999999999998,0,0,2010,12,49,7,high,freezing,dry,341,autumn
2010-12-08,933399.0,1134,0.9479717813051146,823.0,Wednesday,0.0,2.2,-5.6,-1.6999999999999997,0,0,2010,12,49,8,high,freezing,dry,342,autumn
2010-12-09,890407.0,1268,0.944006309148265,702.0,Thursday,0.0,2.2,-7.2,-2.5,0,0,2010,12,49,9,high,freezing,dry,343,autumn
2010-12-10,838813.0,1276,0.9427899686520376,657.0,Friday,0.01,2.2,-6.1,-1.9499999999999997,0,0,2010,12,49,10,high,freezing,light,344,autumn
2010-12-11,1129085.0,1129,0.8387953941541186,1000.0,Saturday,0.09,6.1,-5.0,0.5499999999999998,0,1,2010,12,49,11,high,cold,light,345,autumn
2010-12-12,263105.0,420,0.8976190476190476,626.0,Sunday,0.92,12.2,2.8,7.5,0,1,2010,12,49,12,high,cold,light,346,autumn
2010-12-13,694918.0,1033,0.9554695062923524,673.0,Monday,0.0,4.4,-5.6,-0.5999999999999996,0,0,2010,12,50,13,high,freezing,dry,347,autumn
2010-12-14,578310.0,844,0.9537914691943128,685.0,Tuesday,0.0,-2.2,-6.7,-4.45,0,0,2010,12,50,14,high,freezing,dry,348,autumn
2010-12-15,664294.0,1049,0.9590085795996188,633.0,Wednesday,0.0,0.0,-7.2,-3.6,0,0,2010,12,50,15,high,freezing,dry,349,autumn
2010-12-16,631367.0,669,0.9820627802690582,944.0,Thursday,0.11,-3.9,-8.9,-6.4,0,0,2010,12,50,16,high,freezing,light,350,autumn
2010-12-17,540117.0,854,0.9590163934426228,632.0,Friday,0.0,2.8,-8.3,-2.7500000000000004,0,0,2010,12,50,17,high,freezing,dry,351,autumn
2010-12-18,712693.0,823,0.8979343863912516,866.0,Saturday,0.0,2.8,-5.6,-1.4,0,1,2010,12,50,18,high,freezing,dry,352,autumn
2010-12-19,642572.0,799,0.8735919899874843,804.0,Sunday,0.0,2.8,-5.6,-1.4,0,1,2010,12,50,19,high,freezing,dry,353,autumn
2010-12-20,791766.0,1025,0.9473170731707315,772.0,Monday,0.0,2.8,-6.1,-1.65,0,0,2010,12,51,20,high,freezing,dry,354,autumn
2010-12-21,704839.0,1036,0.9517374517374516,680.0,Tuesday,0.0,5.6,-3.3,1.15,0,0,2010,12,51,21,high,cold,dry,355,winter
2010-12-22,762411.0,1097,0.9079307201458524,695.0,Wednesday,0.0,7.2,0.0,3.6,0,0,2010,12,51,22,high,cold,dry,356,winter
2010-12-23,532853.0,738,0.9173441734417344,722.0,Thursday,0.0,6.1,-0.6,2.75,0,0,2010,12,51,23,high,cold,dry,357,winter
2010-12-24,369995.0,343,0.7900874635568513,1079.0,Friday,0.0,5.0,-2.8,1.1,0,0,2010,12,51,24,medium,cold,dry,358,winter
2010-12-25,325758.0,188,0.4574468085106383,1733.0,Saturday,0.01,1.1,-1.7,-0.29999999999999993,1,1,2010,12,51,25,low,freezing,light,359,winter
2010-12-26,53560.0,84,0.8214285714285714,638.0,Sunday,0.02,-0.6,-3.9,-2.25,0,1,2010,12,51,26,high,freezing,light,360,winter
2010-12-27,264953.0,298,0.9127516778523491,889.0,Monday,0.0,2.2,-3.3,-0.5499999999999998,0,0,2010,12,52,27,high,freezing,dry,361,winter
2010-12-28,644505.0,689,0.8998548621190131,935.0,Tuesday,0.0,6.1,-3.3,1.4,0,0,2010,12,52,28,high,cold,dry,362,winter
2010-12-29,904923.0,923,0.8797399783315276,980.0,Wednesday,0.0,8.9,-3.3,2.8000000000000003,0,0,2010,12,52,29,high,cold,dry,363,winter
2010-12-30,957741.0,1103,0.8658204895738894,868.0,Thursday,0.0,8.3,-6.1,1.1000000000000005,0,0,2010,12,52,30,high,cold,dry,364,winter
2010-12-31,1377307.0,934,0.6970021413276232,1475.0,Friday,0.0,10.0,-4.4,2.8,1,1,2010,12,52,31,low,cold,dry,365,winter
2011-01-01,1451716.0,959,0.6558915537017727,1514.0,Saturday,0.0,15.0,-1.7,6.65,0,1,2011,1,52,1,low,cold,dry,1,winter
2011-01-02,674794.0,781,0.8335467349551856,864.0,Sunday,0.05,15.6,0.6,8.1,0,1,2011,1,52,2,high,cold,light,2,winter
2011-01-03,1177070.0,1301,0.9077632590315142,905.0,Monday,0.0,3.9,-4.4,-0.2500000000000002,0,0,2011,1,1,3,high,freezing,dry,3,winter
2011-01-04,1241874.0,1536,0.9303385416666666,809.0,Tuesday,0.0,7.2,-6.7,0.25,0,0,2011,1,1,4,high,cold,dry,4,winter
2011-01-05,1104229.0,1571,0.947803946530872,703.0,Wednesday,0.0,4.4,-5.6,-0.5999999999999996,0,0,2011,1,1,5,high,freezing,dry,5,winter
2011-01-06,1179295.0,1573,0.944055944055944,750.0,Thursday,0.0,3.9,-6.1,-1.0999999999999999,0,0,2011,1,1,6,high,freezing,dry,6,winter
2011-01-07,1099393.0,1493,0.9008707300736772,736.0,Friday,0.0,1.1,-4.4,-1.6500000000000001,0,0,2011,1,1,7,high,freezing,dry,7,winter
2011-01-08,664114.0,939,0.9275825346112886,707.0,Saturday,0.01,0.6,-5.6,-2.5,0,1,2011,1,1,8,high,freezing,light,8,winter
2011-01-09,537747.0,802,0.9326683291770572,671.0,Sunday,0.0,1.7,-6.1,-2.1999999999999997,0,1,2011,1,1,9,high,freezing,dry,9,winter
2011-01-10,915890.0,1298,0.9684129429892142,706.0,Monday,0.0,2.2,-7.2,-2.5,0,0,2011,1,2,10,high,freezing,dry,10,winter
2011-01-11,907067.0,1231,0.9650690495532088,737.0,Tuesday,0.16,-0.6,-5.6,-3.0999999999999996,0,0,2011,1,2,11,high,freezing,light,11,winter
2011-01-12,740070.0,1141,0.9780893952673094,649.0,Wednesday,0.0,0.6,-6.1,-2.75,0,0,2011,1,2,12,high,freezing,dry,12,winter
2011-01-13,942587.0,1383,0.9732465654374548,682.0,Thursday,0.0,1.7,-5.6,-1.9499999999999997,0,0,2011,1,2,13,high,freezing,dry,13,winter
2011-01-14,961821.0,1384,0.9609826589595376,695.0,Friday,0.0,1.1,-7.2,-3.05,0,0,2011,1,2,14,high,freezing,dry,14,winter
2011-01-15,1267477.0,1240,0.8209677419354838,1022.0,Saturday,0.0,5.0,-4.4,0.2999999999999998,0,1,2011,1,2,15,high,cold,dry,15,winter
2011-01-16,1448909.0,1188,0.7887205387205387,1220.0,Sunday,0.0,4.4,-3.9,0.2500000000000002,0,1,2011,1,2,16,medium,cold,dry,16,winter
2011-01-17,821647.0,993,0.8821752265861027,827.0,Monday,0.18,-1.1,-3.9,-2.5,1,1,2011,1,3,17,high,freezing,light,17,winter
2011-01-18,463301.0,672,0.9866071428571428,689.0,Tuesday,0.27,2.2,-2.8,-0.2999999999999998,0,0,2011,1,3,18,high,freezing,light,18,winter
2011-01-19,1221121.0,1631,0.9521765787860208,749.0,Wednesday,0.05,10.0,0.0,5.0,0,0,2011,1,3,19,high,cold,light,19,winter
2011-01-20,1346466.0,1896,0.9572784810126582,710.0,Thursday,0.0,6.1,-1.7,2.1999999999999997,0,0,2011,1,3,20,high,cold,dry,20,winter
2011-01-21,1117070.0,1522,0.9520367936925098,734.0,Friday,0.06,2.2,-7.8,-2.8,0,0,2011,1,3,21,high,freezing,light,21,winter
2011-01-22,704079.0,969,0.9040247678018576,727.0,Saturday,0.0,-3.9,-11.1,-7.5,0,1,2011,1,3,22,high,freezing,dry,22,winter
2011-01-23,797549.0,977,0.8464687819856704,816.0,Sunday,0.0,-1.7,-11.1,-6.3999999999999995,0,1,2011,1,3,23,high,freezing,dry,23,winter
2011-01-24,913988.0,1405,0.9387900355871888,651.0,Monday,0.0,-1.7,-13.3,-7.5,0,0,2011,1,4,24,high,freezing,dry,24,winter
2011-01-25,1443551.0,1971,0.9056316590563166,732.0,Tuesday,0.0,7.2,-3.9,1.6500000000000001,0,0,2011,1,4,25,high,cold,dry,25,winter
2011-01-26,334035.0,500,0.932,668.0,Wednesday,1.82,1.7,0.0,0.85,0,0,2011,1,4,26,high,cold,heavy,26,winter
2011-01-27,299187.0,424,0.9646226415094341,706.0,Thursday,0.0,2.2,-3.3,-0.5499999999999998,0,0,2011,1,4,27,high,freezing,dry,27,winter
2011-01-28,932325.0,1151,0.9669852302345786,810.0,Friday,0.06,1.7,-2.8,-0.5499999999999999,0,0,2011,1,4,28,high,freezing,light,28,winter
2011-01-29,823969.0,1070,0.8850467289719626,770.0,Saturday,0.0,1.1,-6.7,-2.8,0,1,2011,1,4,29,high,freezing,dry,29,winter
2011-01-30,921634.0,1084,0.8708487084870848,850.0,Sunday,0.0,5.6,-7.8,-1.1,0,1,2011,1,4,30,high,freezing,dry,30,winter
2011-01-31,1019953.0,1418,0.9703808180535968,719.0,Monday,0.0,0.0,-3.9,-1.95,0,0,2011,1,5,31,high,freezing,dry,31,winter
2011-02-01,849244.0,1331,0.9646882043576258,638.0,Tuesday,0.12,1.1,-2.2,-0.55,0,0,2011,2,5,1,high,freezing,light,32,winter
2011-02-02,1063617.0,1502,0.952063914780293,708.0,Wednesday,0.69,7.8,-0.6,3.6,0,0,2011,2,5,2,high,cold,light,33,winter
2011-02-03,1024959.0,1534,0.9602346805736636,668.0,Thursday,0.0,1.1,-5.0,-1.95,0,0,2011,2,5,3,high,freezing,dry,34,winter
2011-02-04,1272822.0,1691,0.94795978710822,753.0,Friday,0.0,5.0,-5.6,-0.2999999999999998,0,0,2011,2,5,4,high,freezing,dry,35,winter
2011-02-05,719965.0,992,0.8991935483870968,726.0,Saturday,0.23,4.4,0.6,2.5,0,1,2011,2,5,5,high,cold,light,36,winter
2011-02-06,1790453.0,1603,0.7791640673736744,1117.0,Sunday,0.0,8.3,-1.1,3.6000000000000005,0,1,2011,2,5,6,medium,cold,dry,37,winter
2011-02-07,1283631.0,1687,0.9294605809128632,761.0,Monday,0.0,8.9,-3.3,2.8000000000000003,0,0,2011,2,6,7,high,cold,dry,38,winter
2011-02-08,1000182.0,1510,0.9576158940397352,662.0,Tuesday,0.0,3.9,-5.6,-0.8499999999999999,0,0,2011,2,6,8,high,freezing,dry,39,winter
2011-02-09,962385.0,1592,0.9673366834170856,605.0,Wednesday,0.0,1.1,-8.9,-3.9000000000000004,0,0,2011,2,6,9,high,freezing,dry,40,winter
2011-02-10,990831.0,1520,0.9697368421052632,652.0,Thursday,0.0,0.0,-8.9,-4.45,0,0,2011,2,6,10,high,freezing,dry,41,winter
2011-02-11,1305224.0,1724,0.9141531322505799,757.0,Friday,0.0,7.2,-10.6,-1.6999999999999997,0,0,2011,2,6,11,high,freezing,dry,42,winter
2011-02-12,1561064.0,1455,0.8020618556701031,1073.0,Saturday,0.0,7.2,-7.8,-0.2999999999999998,0,1,2011,2,6,12,high,freezing,dry,43,winter
2011-02-13,1769982.0,1558,0.7458279845956355,1136.0,Sunday,0.0,11.7,-3.9,3.8999999999999995,0,1,2011,2,6,13,medium,cold,dry,44,winter
2011-02-14,1724264.0,1892,0.8905919661733616,911.0,Monday,0.0,19.4,5.0,12.2,0,0,2011,2,7,14,high,cold,dry,45,winter
2011-02-15,1321364.0,1780,0.9219101123595506,742.0,Tuesday,0.0,7.8,-4.4,1.6999999999999997,0,0,2011,2,7,15,high,cold,dry,46,winter
2011-02-16,1590585.0,2079,0.8951418951418951,765.0,Wednesday,0.0,13.9,-4.4,4.75,0,0,2011,2,7,16,high,cold,dry,47,winter
2011-02-17,2176507.0,2443,0.8943921408104789,891.0,Thursday,0.0,21.7,5.0,13.35,0,0,2011,2,7,17,high,cold,dry,48,winter
2011-02-18,3543461.0,2892,0.8001383125864454,1225.0,Friday,0.0,23.3,10.6,16.95,0,0,2011,2,7,18,high,nice,dry,49,winter
2011-02-19,2369479.0,1609,0.6693598508390305,1473.0,Saturday,0.0,13.3,1.7,7.5,0,1,2011,2,7,19,low,cold,dry,50,winter
2011-02-20,3239416.0,1787,0.6424174594292109,1813.0,Sunday,0.03,10.6,-1.7,4.45,0,1,2011,2,7,20,low,cold,light,51,winter
2011-02-21,957059.0,1093,0.8215919487648673,876.0,Monday,0.27,5.6,-2.8,1.4,1,1,2011,2,8,21,high,cold,light,52,winter
2011-02-22,980851.0,1432,0.9483240223463688,685.0,Tuesday,0.32,2.8,-5.0,-1.1,0,0,2011,2,8,22,high,freezing,light,53,winter
2011-02-23,1513451.0,1879,0.9260244811069718,805.0,Wednesday,0.0,7.2,-7.8,-0.2999999999999998,0,0,2011,2,8,23,high,freezing,dry,54,winter
2011-02-24,1216642.0,1786,0.9440089585666294,681.0,Thursday,0.02,10.0,-5.0,2.5,0,0,2011,2,8,24,high,cold,light,55,winter
2011-02-25,1083497.0,1443,0.9168399168399168,751.0,Friday,0.51,19.4,1.1,10.25,0,0,2011,2,8,25,high,cold,light,56,winter
2011-02-26,2086979.0,1943,0.7817807514153371,1074.0,Saturday,0.0,7.8,0.0,3.9,0,1,2011,2,8,26,medium,cold,dry,57,winter
2011-02-27,3579150.0,2371,0.7072964993673555,1510.0,Sunday,0.0,16.1,0.0,8.05,0,1,2011,2,8,27,medium,cold,dry,58,winter
2011-02-28,1194805.0,1430,0.944055944055944,836.0,Monday,0.5,20.0,5.6,12.8,0,0,2011,2,9,28,high,cold,light,59,winter
2011-03-01,1529668.0,1832,0.9252183406113536,835.0,Tuesday,0.0,9.4,-1.1,4.15,0,0,2011,3,9,1,high,cold,dry,60,winter
2011-03-02,1929114.0,2109,0.8904694167852063,915.0,Wednesday,0.0,16.7,-1.1,7.8,0,0,2011,3,9,2,high,cold,dry,61,winter
2011-03-03,1460742.0,1659,0.9258589511754068,880.0,Thursday,0.0,3.9,-3.9,0.0,0,0,2011,3,9,3,high,,dry,62,winter
2011-03-04,1632020.0,1923,0.8887155486219449,849.0,Friday,0.0,8.9,-2.8,3.0500000000000003,0,0,2011,3,9,4,high,cold,dry,63,winter
2011-03-05,3423747.0,2054,0.688412852969815,1667.0,Saturday,0.0,17.2,3.9,10.549999999999999,0,1,2011,3,9,5,low,cold,dry,64,winter
2011-03-06,450223.0,582,0.8058419243986255,774.0,Sunday,1.05,13.9,2.8,8.35,0,1,2011,3,9,6,high,cold,heavy,65,winter
2011-03-07,1621497.0,1842,0.8680781758957655,880.0,Monday,0.01,10.0,1.1,5.55,0,0,2011,3,10,7,high,cold,light,66,winter
2011-03-08,2061759.0,2097,0.849308536003815,983.0,Tuesday,0.0,9.4,-2.8,3.3000000000000003,0,0,2011,3,10,8,high,cold,dry,67,winter
2011-03-09,1549594.0,1868,0.8977516059957173,830.0,Wednesday,0.02,8.3,1.1,4.7,0,0,2011,3,10,9,high,cold,light,68,winter
2011-03-10,475093.0,616,0.9253246753246752,771.0,Thursday,2.61,14.4,7.2,10.8,0,0,2011,3,10,10,high,cold,heavy,69,winter
2011-03-11,1627438.0,1953,0.8735279057859703,833.0,Friday,0.0,11.1,4.4,7.75,0,0,2011,3,10,11,high,cold,dry,70,winter
2011-03-12,3434845.0,2104,0.655893536121673,1633.0,Saturday,0.0,14.4,2.2,8.3,0,1,2011,3,10,12,low,cold,dry,71,winter
2011-03-13,4315633.0,2375,0.5877894736842105,1817.0,Sunday,0.0,14.4,1.7,8.05,0,1,2011,3,10,13,low,cold,dry,72,winter
